metric_month,billingCountry,product,active_subscribers,mrr
2016-01-01,India,PRO,108,9786.619999999999
2016-01-01,United Kingdom,BUSINESS,30,10463.742499999998
2016-01-01,United Kingdom,GURU,78,13744.119999999997
2016-01-01,United Kingdom,PRO,179,15654.812499999987
2016-01-01,United States,BUSINESS,33,11844.50083333333
2016-01-01,United States,GURU,79,13895.309166666664
2016-01-01,United States,PRO,140,12423.142499999993
2016-02-01,Canada,BUSINESS,10,3599.9083333333338
2016-02-01,Canada,GURU,42,7687.614999999999
2016-02-01,Canada,PRO,61,5391.4458333333305
2016-02-01,France,BUSINESS,7,2543.9366666666665
2016-02-01,France,GURU,39,6814.056666666665
2016-02-01,France,PRO,49,4259.563333333331
2016-02-01,India,BUSINESS,18,6668.631666666665
2016-02-01,India,GURU,52,9082.750833333334
2016-02-01,India,PRO,128,11538.433333333329
2016-02-01,United Kingdom,BUSINESS,30,10415.745833333332
2016-02-01,United Kingdom,GURU,114,20702.17666666667
2016-02-01,United Kingdom,PRO,231,20546.331666666647
2016-02-01,United States,BUSINESS,36,12948.477499999997
2016-02-01,United States,GURU,97,16991.15916666666
2016-02-01,United States,PRO,193,17167.863333333324
2016-03-01,Canada,BUSINESS,10,3479.918333333334
2016-03-01,Canada,GURU,48,8831.559999999998
2016-03-01,Canada,PRO,73,6526.532499999996
2016-03-01,France,BUSINESS,10,3743.9066666666668
2016-03-01,France,GURU,34,5714.116666666667
2016-03-01,France,PRO,59,5161.468333333329
2016-03-01,India,BUSINESS,21,7820.604999999999
2016-03-01,India,GURU,76,13574.526666666663
2016-03-01,India,PRO,150,13594.228333333327
2016-03-01,United Kingdom,BUSINESS,36,12551.697499999998
2016-03-01,United Kingdom,GURU,114,20505.374166666676
2016-03-01,United Kingdom,PRO,240,20532.686666666643
2016-03-01,United States,BUSINESS,38,13396.462499999998
2016-03-01,United States,GURU,109,18983.860833333336
2016-03-01,United States,PRO,209,18395.344999999976
2016-04-01,Canada,BUSINESS,11,4015.9000000000005
2016-04-01,Canada,GURU,41,7495.626666666666
2016-04-01,Canada,PRO,79,6850.491666666662
2016-04-01,France,BUSINESS,12,4343.896666666666
2016-04-01,France,GURU,32,5334.1375
2016-04-01,France,PRO,71,6031.364999999996
2016-04-01,India,BUSINESS,23,8260.594166666666
2016-04-01,India,GURU,86,14764.871666666666
2016-04-01,India,PRO,156,13993.384999999995
2016-04-01,United Kingdom,BUSINESS,40,14551.637499999997
2016-04-01,United Kingdom,GURU,127,22223.7
2016-04-01,United Kingdom,PRO,283,24874.28666666664
2016-04-01,United States,BUSINESS,42,15028.425833333331
2016-04-01,United States,GURU,126,21915.715000000007
2016-04-01,United States,PRO,240,20999.053333333315
2016-05-01,Canada,BUSINESS,13,4615.89
2016-05-01,Canada,GURU,41,7234.045000000001
2016-05-01,Canada,PRO,86,7440.438333333332
2016-05-01,France,BUSINESS,12,4279.898333333333
2016-05-01,France,GURU,46,7796.421666666665
2016-05-01,France,PRO,81,6922.478333333329
2016-05-01,India,BUSINESS,24,8396.595833333333
2016-05-01,India,GURU,88,15100.854166666666
2016-05-01,India,PRO,182,16264.355833333324
2016-05-01,United Kingdom,BUSINESS,42,15007.629166666664
2016-05-01,United Kingdom,GURU,156,27348.247500000005
2016-05-01,United Kingdom,PRO,308,27200.868333333296
2016-05-01,United States,BUSINESS,50,17292.372499999998
2016-05-01,United States,GURU,134,23040.454999999998
2016-05-01,United States,PRO,273,23925.961666666662
2016-06-01,Canada,BUSINESS,15,5615.86
2016-06-01,Canada,GURU,52,9501.926666666666
2016-06-01,Canada,PRO,97,8399.546666666663
2016-06-01,France,BUSINESS,9,3343.916666666666
2016-06-01,France,GURU,56,9504.341666666667
2016-06-01,France,PRO,74,6366.549166666665
2016-06-01,India,BUSINESS,31,10676.534999999998
2016-06-01,India,GURU,90,15384.849166666667
2016-06-01,India,PRO,199,17580.20916666666
2016-06-01,United Kingdom,BUSINESS,48,17199.572499999995
2016-06-01,United Kingdom,GURU,172,30006.502500000002
2016-06-01,United Kingdom,PRO,317,27722.01083333327
2016-06-01,United States,BUSINESS,50,17113.17916666667
2016-06-01,United States,GURU,156,27132.248333333315
2016-06-01,United States,PRO,286,24763.86999999997
2016-07-01,Canada,BUSINESS,14,4815.89
2016-07-01,Canada,GURU,55,10004.301666666666
2016-07-01,Canada,PRO,105,9113.476666666664
2016-07-01,France,BUSINESS,10,3807.9049999999997
2016-07-01,France,GURU,62,10734.668333333333
2016-07-01,France,PRO,99,8876.307499999994
2016-07-01,India,BUSINESS,31,10828.528333333332
2016-07-01,India,GURU,107,18755.064166666667
2016-07-01,India,PRO,229,20281.923333333318
2016-07-01,United Kingdom,BUSINESS,58,20671.484166666665
2016-07-01,United Kingdom,GURU,174,30168.100833333323
2016-07-01,United Kingdom,PRO,366,31793.9641666666
2016-07-01,United States,BUSINESS,60,20905.082499999993
2016-07-01,United States,GURU,157,26861.868333333314
2016-07-01,United States,PRO,325,28697.91166666663
2016-08-01,Canada,BUSINESS,17,6007.8533333333335
2016-08-01,Canada,GURU,66,11840.213333333333
2016-08-01,Canada,PRO,133,11613.214166666661
2016-08-01,France,BUSINESS,10,3663.9066666666668
2016-08-01,France,GURU,66,11330.640833333333
2016-08-01,France,PRO,108,9560.64083333333
2016-08-01,India,BUSINESS,41,14716.433333333329
2016-08-01,India,GURU,115,20194.19749999999
2016-08-01,India,PRO,254,22673.308333333334
2016-08-01,United Kingdom,BUSINESS,56,19889.100833333334
2016-08-01,United Kingdom,GURU,216,37394.156666666626
2016-08-01,United Kingdom,PRO,388,34044.97416666663
2016-08-01,United States,BUSINESS,68,23441.022499999995
2016-08-01,United States,GURU,195,33733.53083333332
2016-08-01,United States,PRO,348,30260.145833333314
2016-09-01,Canada,BUSINESS,12,4223.895000000001
2016-09-01,Canada,GURU,77,13652.128333333332
2016-09-01,Canada,PRO,144,12641.11666666666
2016-09-01,France,BUSINESS,13,4719.878333333333
2016-09-01,France,GURU,83,14552.884999999997
2016-09-01,France,PRO,124,10873.69833333333
2016-09-01,India,BUSINESS,47,16588.396666666664
2016-09-01,India,GURU,134,23526.827499999996
2016-09-01,India,PRO,263,23168.449999999975
2016-09-01,United Kingdom,BUSINESS,65,22961.02249999999
2016-09-01,United Kingdom,GURU,228,39268.465833333285
2016-09-01,United Kingdom,PRO,427,37274.24916666667
2016-09-01,United States,BUSINESS,82,28530.49083333334
2016-09-01,United States,GURU,206,35227.05666666664
2016-09-01,United States,PRO,412,35837.15666666665
2016-10-01,Canada,BUSINESS,15,5359.866666666668
2016-10-01,Canada,GURU,82,14436.082499999999
2016-10-01,Canada,PRO,167,14708.106666666657
2016-10-01,France,BUSINESS,20,7471.811666666666
2016-10-01,France,GURU,75,12579.385
2016-10-01,France,PRO,146,12898.701666666662
2016-10-01,India,BUSINESS,44,15188.424999999997
2016-10-01,India,GURU,157,27241.046666666643
2016-10-01,India,PRO,310,27250.819166666635
2016-10-01,United Kingdom,BUSINESS,77,27437.71083333333
2016-10-01,United Kingdom,GURU,257,44686.602499999986
2016-10-01,United Kingdom,PRO,477,41438.20583333334
2016-10-01,United States,BUSINESS,83,28626.491666666665
2016-10-01,United States,GURU,252,44010.63750000002
2016-10-01,United States,PRO,472,41246.614999999976
2016-11-01,Canada,BUSINESS,17,6095.848333333333
2016-11-01,Canada,GURU,94,16319.985
2016-11-01,Canada,PRO,172,14767.282499999992
2016-11-01,France,BUSINESS,25,9159.776666666667
2016-11-01,France,GURU,99,16783.98333333333
2016-11-01,France,PRO,143,12345.951666666666
2016-11-01,India,BUSINESS,60,20988.283333333326
2016-11-01,India,GURU,180,31771.221666666646
2016-11-01,India,PRO,338,29613.77499999996
2016-11-01,United Kingdom,BUSINESS,99,34925.523333333345
2016-11-01,United Kingdom,GURU,275,47598.45416666667
2016-11-01,United Kingdom,PRO,500,43249.214166666636
2016-11-01,United States,BUSINESS,97,34394.346666666665
2016-11-01,United States,GURU,262,45936.13250000006
2016-11-01,United States,PRO,509,44253.50749999999
2016-12-01,Canada,BUSINESS,25,9031.78
2016-12-01,Canada,GURU,105,18311.901666666643
2016-12-01,Canada,PRO,156,13308.655833333329
2016-12-01,France,BUSINESS,21,7631.81
2016-12-01,France,GURU,93,15860.016666666666
2016-12-01,France,PRO,162,14023.782499999996
2016-12-01,India,BUSINESS,56,19591.51333333332
2016-12-01,India,GURU,195,34259.90499999998
2016-12-01,India,PRO,327,28623.109999999946
2016-12-01,United Kingdom,BUSINESS,91,31437.626666666656
2016-12-01,United Kingdom,GURU,301,52146.239166666666
2016-12-01,United Kingdom,PRO,490,42125.339166666636
2016-12-01,United States,BUSINESS,84,58650.48833333338
2016-12-01,United States,GURU,277,48507.98666666671
2016-12-01,United States,PRO,488,42082.9508333333
2017-01-01,Canada,BUSINESS,30,10951.73
2017-01-01,Canada,GURU,151,27053.854999999996
2017-01-01,Canada,PRO,157,13382.646666666662
2017-01-01,France,BUSINESS,19,6687.831666666667
2017-01-01,France,GURU,192,34444.70833333336
2017-01-01,France,PRO,168,14399.738333333331
2017-01-01,India,BUSINESS,52,18151.553333333326
2017-01-01,India,GURU,274,48114.42499999998
2017-01-01,India,PRO,292,25153.88416666659
2017-01-01,United Kingdom,BUSINESS,81,28173.709166666657
2017-01-01,United Kingdom,GURU,439,76884.2408333335
2017-01-01,United Kingdom,PRO,444,37830.99666666658
2017-01-01,United States,BUSINESS,74,25066.579999999987
2017-01-01,United States,GURU,428,76891.38666666677
2017-01-01,United States,PRO,467,39951.5766666666
2017-02-01,Canada,BUSINESS,24,8623.783333333333
2017-02-01,Canada,GURU,157,27969.806666666664
2017-02-01,Canada,PRO,172,14472.919166666661
2017-02-01,France,BUSINESS,25,9167.771666666666
2017-02-01,France,GURU,226,40454.808333333334
2017-02-01,France,PRO,207,17978.57249999998
2017-02-01,India,BUSINESS,51,17735.561666666665
2017-02-01,India,GURU,320,56516.40166666666
2017-02-01,India,PRO,289,24813.922499999928
2017-02-01,United Kingdom,BUSINESS,81,27917.718333333323
2017-02-01,United Kingdom,GURU,511,89989.1541666671
2017-02-01,United Kingdom,PRO,448,38176.964999999946
2017-02-01,United States,BUSINESS,72,24234.59583333331
2017-02-01,United States,GURU,479,85818.1525000003
2017-02-01,United States,PRO,482,41233.85249999993
2017-03-01,Canada,BUSINESS,25,9039.775
2017-03-01,Canada,GURU,181,32111.996666666673
2017-03-01,Canada,PRO,193,16368.733333333324
2017-03-01,France,BUSINESS,33,12079.695
2017-03-01,France,GURU,311,55838.83833333328
2017-03-01,France,PRO,245,21646.61749999997
2017-03-01,India,BUSINESS,55,19159.528333333325
2017-03-01,India,GURU,348,61670.55750000001
2017-03-01,India,PRO,301,25793.810833333257
2017-03-01,United Kingdom,BUSINESS,78,26941.73499999998
2017-03-01,United Kingdom,GURU,554,96411.29750000051
2017-03-01,United Kingdom,PRO,438,37283.864166666564
2017-03-01,United States,BUSINESS,74,24570.597499999974
2017-03-01,United States,GURU,483,85665.35750000035
2017-03-01,United States,PRO,481,40847.47749999994
2017-04-01,Canada,BUSINESS,31,11095.726666666666
2017-04-01,Canada,GURU,250,44587.40250000001
2017-04-01,Canada,PRO,202,17431.853333333318
2017-04-01,France,BUSINESS,37,13431.668333333331
2017-04-01,France,GURU,377,67377.48083333333
2017-04-01,France,PRO,263,23179.656666666662
2017-04-01,India,BUSINESS,51,17793.157499999994
2017-04-01,India,GURU,371,65690.34249999998
2017-04-01,India,PRO,304,26061.784166666595
2017-04-01,United Kingdom,BUSINESS,82,27986.509166666663
2017-04-01,United Kingdom,GURU,583,101913.36083333397
2017-04-01,United Kingdom,PRO,460,39115.64083333327
2017-04-01,United States,BUSINESS,77,26250.547499999982
2017-04-01,United States,GURU,556,98591.13916666723
2017-04-01,United States,PRO,504,42891.67083333332
2017-05-01,Canada,BUSINESS,25,8911.778333333335
2017-05-01,Canada,GURU,276,48436.01166666666
2017-05-01,Canada,PRO,202,17185.06333333332
2017-05-01,France,BUSINESS,37,13257.27
2017-05-01,France,GURU,486,87162.8675000004
2017-05-01,France,PRO,279,24535.529166666634
2017-05-01,India,BUSINESS,55,19185.12083333333
2017-05-01,India,GURU,389,67802.26000000008
2017-05-01,India,PRO,312,26863.70916666658
2017-05-01,United Kingdom,BUSINESS,86,28994.49416666665
2017-05-01,United Kingdom,GURU,606,106080.33750000069
2017-05-01,United Kingdom,PRO,441,37411.820833333266
2017-05-01,United States,BUSINESS,78,26818.53333333331
2017-05-01,United States,GURU,604,106625.14166666735
2017-05-01,United States,PRO,480,40478.7083333333
2017-06-01,Canada,BUSINESS,25,8847.78
2017-06-01,Canada,GURU,296,52138.22166666666
2017-06-01,Canada,PRO,209,17873.80583333333
2017-06-01,France,BUSINESS,55,19881.105000000003
2017-06-01,France,GURU,553,98379.15250000061
2017-06-01,France,PRO,306,26897.299166666628
2017-06-01,India,BUSINESS,51,17625.159999999996
2017-06-01,India,GURU,419,72997.99500000016
2017-06-01,India,PRO,304,25898.195833333237
2017-06-01,United Kingdom,BUSINESS,87,29730.465833333314
2017-06-01,United Kingdom,GURU,667,116393.44333333422
2017-06-01,United Kingdom,PRO,442,37786.59333333327
2017-06-01,United States,BUSINESS,68,22706.629999999976
2017-06-01,United States,GURU,635,111333.7191666674
2017-06-01,United States,PRO,482,40888.68666666659
2017-07-01,Canada,BUSINESS,27,9647.760000000002
2017-07-01,Canada,GURU,326,57259.58666666663
2017-07-01,Canada,PRO,228,19640.827499999967
2017-07-01,France,BUSINESS,65,23497.014999999996
2017-07-01,France,GURU,654,114886.38500000085
2017-07-01,France,PRO,360,31756.80249999994
2017-07-01,India,BUSINESS,55,18977.133333333328
2017-07-01,India,GURU,451,78972.09333333359
2017-07-01,India,PRO,316,27050.88916666656
2017-07-01,United Kingdom,BUSINESS,81,27914.505833333325
2017-07-01,United Kingdom,GURU,703,121717.16166666755
2017-07-01,United Kingdom,PRO,439,37191.434166666564
2017-07-01,United States,BUSINESS,79,27202.521666666646
2017-07-01,United States,GURU,626,109326.61166666739
2017-07-01,United States,PRO,507,43332.44583333332
2017-08-01,Canada,BUSINESS,27,9383.771666666667
2017-08-01,Canada,GURU,356,62813.69583333334
2017-08-01,Canada,PRO,219,18608.930833333317
2017-08-01,France,BUSINESS,74,26760.93166666666
2017-08-01,France,GURU,775,136760.49166666772
2017-08-01,France,PRO,420,36990.26499999999
2017-08-01,India,BUSINESS,64,22105.05833333333
2017-08-01,India,GURU,502,87472.47000000038
2017-08-01,India,PRO,308,26161.364999999907
2017-08-01,United Kingdom,BUSINESS,73,24973.779166666656
2017-08-01,United Kingdom,GURU,745,128724.81416666771
2017-08-01,United Kingdom,PRO,453,38800.09999999993
2017-08-01,United States,BUSINESS,82,28199.30166666665
2017-08-01,United States,GURU,691,121258.77500000095
2017-08-01,United States,PRO,514,44227.57416666664
2017-09-01,Canada,BUSINESS,30,10431.736666666668
2017-09-01,Canada,GURU,387,68239.83416666668
2017-09-01,Canada,PRO,234,19861.99916666665
2017-09-01,France,BUSINESS,86,30293.64999999999
2017-09-01,France,GURU,903,159477.74750000052
2017-09-01,France,PRO,458,39970.340833333314
2017-09-01,India,BUSINESS,65,22913.034999999993
2017-09-01,India,GURU,555,97130.37000000049
2017-09-01,India,PRO,310,26557.335833333276
2017-09-01,United Kingdom,BUSINESS,74,25069.782499999998
2017-09-01,United Kingdom,GURU,770,132161.46500000102
2017-09-01,United Kingdom,PRO,427,36609.936666666596
2017-09-01,United States,BUSINESS,77,26493.739999999994
2017-09-01,United States,GURU,740,128480.84666666776
2017-09-01,United States,PRO,492,41931.39999999996
2017-10-01,Canada,BUSINESS,31,10631.736666666668
2017-10-01,Canada,GURU,399,70045.34333333341
2017-10-01,Canada,PRO,230,19576.832499999982
2017-10-01,France,BUSINESS,98,34709.539999999986
2017-10-01,France,GURU,1019,179574.32166666683
2017-10-01,France,PRO,542,47297.574166666614
2017-10-01,India,BUSINESS,59,20565.88666666666
2017-10-01,India,GURU,539,93286.55916666715
2017-10-01,India,PRO,321,27577.632499999945
2017-10-01,United Kingdom,BUSINESS,73,24473.00249999999
2017-10-01,United Kingdom,GURU,798,136205.30833333425
2017-10-01,United Kingdom,PRO,430,36737.90166666664
2017-10-01,United States,BUSINESS,76,26173.74999999999
2017-10-01,United States,GURU,720,123245.89833333426
2017-10-01,United States,PRO,466,39604.036666666616
2017-11-01,Canada,BUSINESS,30,10511.736666666668
2017-11-01,Canada,GURU,410,71843.62916666675
2017-11-01,Canada,PRO,232,19842.809999999972
2017-11-01,France,BUSINESS,102,36029.50666666666
2017-11-01,France,GURU,1134,198286.19416666668
2017-11-01,France,PRO,569,49674.57583333338
2017-11-01,India,BUSINESS,51,17573.96333333333
2017-11-01,India,GURU,527,90111.56083333377
2017-11-01,India,PRO,292,24775.901666666618
2017-11-01,United Kingdom,BUSINESS,64,21977.05166666665
2017-11-01,United Kingdom,GURU,810,138198.76666666754
2017-11-01,United Kingdom,PRO,406,34606.92833333325
2017-11-01,United States,BUSINESS,61,20333.899999999983
2017-11-01,United States,GURU,720,123164.30000000093
2017-11-01,United States,PRO,444,37603.43083333322
2017-12-01,Canada,BUSINESS,31,10911.726666666667
2017-12-01,Canada,GURU,348,58417.13750000007
2017-12-01,Canada,PRO,213,17985.005833333315
2017-12-01,France,BUSINESS,99,34325.547499999964
2017-12-01,France,GURU,1036,177953.6008333338
2017-12-01,France,PRO,493,41938.96666666664
2017-12-01,India,BUSINESS,44,14702.040000000005
2017-12-01,India,GURU,483,81267.17500000032
2017-12-01,India,PRO,1000,95927.9925000011
2017-12-01,United Kingdom,BUSINESS,57,19113.123333333333
2017-12-01,United Kingdom,GURU,726,121366.79333333402
2017-12-01,United Kingdom,PRO,349,29295.457499999844
2017-12-01,United States,BUSINESS,62,50633.08333333338
2017-12-01,United States,GURU,688,116171.03750000078
2017-12-01,United States,PRO,402,33649.82416666649
